CODICE,DENOMINAZIONE,INDIRIZZO,COMUNE,COD_ISTAT,LON,LAT,LAT_LON,SR_GEO,QUOTA,OPERATORE,TIPO_IMPIANTO,STATO_IMPIANTO,FASE_RICHIESTA,TECNOLOGIE_UTILIZZATE
PR37,PR PICELLI,"VIA SARTORI, 26",PARMA,034027,10.3180108546,44.8111589473,10.3180108546 44.8111589473,4326                            ,"52,5",TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR306,BANDINI,"LARGO SIMONCINI, C/O PARCHEGGIO SCAMBIATORE VIA LANGHIRANO",PARMA,034027,10.324407,44.7664616,10.324407 44.7664616,4326                            ,74,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
2852 P,BEREMINI,"VIA F. MAESTRI,3",PARMA,034027,10.327959,44.799739,10.327959 44.799739,4326                            ,"54,6",TRE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,UMTS900
PR024,VIA CARLO MARX,"VIA EINSTEIN, 9/17",PARMA,034027,10.3434986,44.7893632,10.3434986 44.7893632,4326                            ,56,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR4703-E,,VIA I MAGGIO C/O CAMPO SPORTIVO,PELLEGRINO PARMENSE,034028,9.932069,44.728713,9.932069 44.728713,4326                            ,425,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
PR088,POLESINE P.SE,ROTATORIA COMUNALE,POLESINE PARMENSE,034029,10.0755787,45.0137548,10.0755787 45.0137548,4326                            ,35,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR2736-A,ROCCABIANCA,VIA A. TOSCANINI C/O TORRE PIEZOMETRICA,ROCCABIANCA,034030,10.2143508,45.0086159,10.2143508 45.0086159,4326                            ,31,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
PR050,ROCCABIANCA,VIA CINTA DI RUGOSA,ROCCABIANCA,034030,10.2309966,45.0004422,10.2309966 45.0004422,4326                            ,27,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR031,SOLIGNANO,AREA ADIACENTE RIPETITORE RAI,SOLIGNANO,034035,9.9873018,44.619173,9.9873018 44.619173,4326                            ,479,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
PR24,CA' PENNETTE,"LOCALITA CASE DEI CIPELLI,SNC",SOLIGNANO,034035,9.9290389,44.5982485,9.9290389 44.5982485,4326                            ,694,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS900 - UMTS2100
PR2627-A,SAN POLO DI TORRILE,VIA BUOZZI,TORRILE,034041,10.3606492,44.8908739,10.3606492 44.8908739,4326                            ,30,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
RE36,ALBINEA,VIA GRANDI,ALBINEA,035001,10.6152539466,44.6338422703,10.6152539466 44.6338422703,4326                            ,116,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
RE063,CERVAREZZA,C/O CAMPO SPORTIVO,BUSANA,035007,10.3384335805,44.3916422765,10.3384335805 44.3916422765,4326                            ,870,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
RE065,FABBRICO,VIA CASCINA 5,FABBRICO,035021,10.8067275087,44.8770856396,10.8067275087 44.8770856396,4326                            ,22,WIND3,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,
